id,utcDate,status,matchday,stage,group,lastUpdated,referees,area.id,area.name,area.code,area.flag,competition.id,competition.name,competition.code,competition.type,competition.emblem,season.id,season.startDate,season.endDate,season.currentMatchday,season.winner,homeTeam.id,homeTeam.name,homeTeam.shortName,homeTeam.tla,homeTeam.crest,awayTeam.id,awayTeam.name,awayTeam.shortName,awayTeam.tla,awayTeam.crest,score.winner,score.duration,score.fullTime.home,score.fullTime.away,score.halfTime.home,score.halfTime.away,odds.msg
435943,2023-08-11T19:00:00Z,FINISHED,1,REGULAR_SEASON,,2024-06-01T10:21:10Z,"[{'id': 11585, 'name': 'Craig Pawson', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,328,Burnley FC,Burnley,BUR,https://crests.football-data.org/328.png,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,AWAY_TEAM,REGULAR,0,3,0,2,Activate Odds-Package in User-Panel to retrieve odds.
435952,2023-08-14T19:00:00Z,FINISHED,1,REGULAR_SEASON,,2024-06-01T10:21:10Z,"[{'id': 11430, 'name': 'Simon Hooper', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,66,Manchester United FC,Man United,MUN,https://crests.football-data.org/66.png,76,Wolverhampton Wanderers FC,Wolverhampton,WOL,https://crests.football-data.org/76.svg,HOME_TEAM,REGULAR,1,0,0,0,Activate Odds-Package in User-Panel to retrieve odds.
435951,2023-08-13T15:30:00Z,FINISHED,1,REGULAR_SEASON,,2024-06-01T10:21:10Z,"[{'id': 11580, 'name': 'Anthony Taylor', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,61,Chelsea FC,Chelsea,CHE,https://crests.football-data.org/61.png,64,Liverpool FC,Liverpool,LIV,https://crests.football-data.org/64.png,DRAW,REGULAR,1,1,1,1,Activate Odds-Package in User-Panel to retrieve odds.
435950,2023-08-13T13:00:00Z,FINISHED,1,REGULAR_SEASON,,2023-09-19T20:20:30Z,"[{'id': 11446, 'name': 'Robert Jones', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,402,Brentford FC,Brentford,BRE,https://crests.football-data.org/402.png,73,Tottenham Hotspur FC,Tottenham,TOT,https://crests.football-data.org/73.png,DRAW,REGULAR,2,2,2,2,Activate Odds-Package in User-Panel to retrieve odds.
435949,2023-08-12T16:30:00Z,FINISHED,1,REGULAR_SEASON,,2023-09-19T20:20:30Z,"[{'id': 11423, 'name': 'Andy Madley', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,67,Newcastle United FC,Newcastle,NEW,https://crests.football-data.org/67.png,58,Aston Villa FC,Aston Villa,AVL,https://crests.football-data.org/58.png,HOME_TEAM,REGULAR,5,1,2,1,Activate Odds-Package in User-Panel to retrieve odds.
435944,2023-08-12T12:00:00Z,FINISHED,1,REGULAR_SEASON,,2023-09-19T20:20:30Z,"[{'id': 11605, 'name': 'Michael Oliver', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,57,Arsenal FC,Arsenal,ARS,https://crests.football-data.org/57.png,351,Nottingham Forest FC,Nottingham,NOT,https://crests.football-data.org/351.png,HOME_TEAM,REGULAR,2,1,2,0,Activate Odds-Package in User-Panel to retrieve odds.
435947,2023-08-12T14:00:00Z,FINISHED,1,REGULAR_SEASON,,2023-09-19T20:20:30Z,"[{'id': 11494, 'name': 'Stuart Attwell', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,62,Everton FC,Everton,EVE,https://crests.football-data.org/62.png,63,Fulham FC,Fulham,FUL,https://crests.football-data.org/63.svg,AWAY_TEAM,REGULAR,0,1,0,0,Activate Odds-Package in User-Panel to retrieve odds.
435946,2023-08-12T14:00:00Z,FINISHED,1,REGULAR_SEASON,,2023-09-19T20:20:30Z,"[{'id': 11556, 'name': 'David Coote', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,397,Brighton & Hove Albion FC,Brighton Hove,BHA,https://crests.football-data.org/397.svg,389,Luton Town FC,Luton Town,LUT,https://crests.football-data.org/389.png,HOME_TEAM,REGULAR,4,1,1,0,Activate Odds-Package in User-Panel to retrieve odds.
435945,2023-08-12T14:00:00Z,FINISHED,1,REGULAR_SEASON,,2023-09-19T20:20:30Z,"[{'id': 11309, 'name': 'Peter Bankes', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,1044,AFC Bournemouth,Bournemouth,BOU,https://crests.football-data.org/1044.png,563,West Ham United FC,West Ham,WHU,https://crests.football-data.org/563.png,DRAW,REGULAR,1,1,0,0,Activate Odds-Package in User-Panel to retrieve odds.
435948,2023-08-12T14:00:00Z,FINISHED,1,REGULAR_SEASON,,2023-09-19T20:20:30Z,"[{'id': 11327, 'name': 'John Brooks', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,356,Sheffield United FC,Sheffield Utd,SHE,https://crests.football-data.org/356.svg,354,Crystal Palace FC,Crystal Palace,CRY,https://crests.football-data.org/354.png,AWAY_TEAM,REGULAR,0,1,0,0,Activate Odds-Package in User-Panel to retrieve odds.
435957,2023-10-03T18:30:00Z,FINISHED,2,REGULAR_SEASON,,2023-10-09T15:20:25Z,"[{'id': 11309, 'name': 'Peter Bankes', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,389,Luton Town FC,Luton Town,LUT,https://crests.football-data.org/389.png,328,Burnley FC,Burnley,BUR,https://crests.football-data.org/328.png,AWAY_TEAM,REGULAR,1,2,0,1,Activate Odds-Package in User-Panel to retrieve odds.
435961,2023-08-20T15:30:00Z,FINISHED,2,REGULAR_SEASON,,2024-06-01T10:21:10Z,"[{'id': 11327, 'name': 'John Brooks', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,563,West Ham United FC,West Ham,WHU,https://crests.football-data.org/563.png,61,Chelsea FC,Chelsea,CHE,https://crests.football-data.org/61.png,HOME_TEAM,REGULAR,3,1,1,1,Activate Odds-Package in User-Panel to retrieve odds.
435953,2023-08-20T13:00:00Z,FINISHED,2,REGULAR_SEASON,,2023-09-19T20:20:30Z,"[{'id': 11580, 'name': 'Anthony Taylor', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,58,Aston Villa FC,Aston Villa,AVL,https://crests.football-data.org/58.png,62,Everton FC,Everton,EVE,https://crests.football-data.org/62.png,HOME_TEAM,REGULAR,4,0,2,0,Activate Odds-Package in User-Panel to retrieve odds.
435954,2023-08-21T19:00:00Z,FINISHED,2,REGULAR_SEASON,,2023-09-19T20:20:30Z,"[{'id': 11556, 'name': 'David Coote', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,354,Crystal Palace FC,Crystal Palace,CRY,https://crests.football-data.org/354.png,57,Arsenal FC,Arsenal,ARS,https://crests.football-data.org/57.png,AWAY_TEAM,REGULAR,0,1,0,0,Activate Odds-Package in User-Panel to retrieve odds.
435962,2023-08-19T14:00:00Z,FINISHED,2,REGULAR_SEASON,,2024-06-01T10:21:10Z,"[{'id': 11423, 'name': 'Andy Madley', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,76,Wolverhampton Wanderers FC,Wolverhampton,WOL,https://crests.football-data.org/76.svg,397,Brighton & Hove Albion FC,Brighton Hove,BHA,https://crests.football-data.org/397.svg,AWAY_TEAM,REGULAR,1,4,0,1,Activate Odds-Package in User-Panel to retrieve odds.
435956,2023-08-19T14:00:00Z,FINISHED,2,REGULAR_SEASON,,2024-06-01T10:21:10Z,"[{'id': 11620, 'name': 'Thomas Bramall', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,64,Liverpool FC,Liverpool,LIV,https://crests.football-data.org/64.png,1044,AFC Bournemouth,Bournemouth,BOU,https://crests.football-data.org/1044.png,HOME_TEAM,REGULAR,3,1,2,1,Activate Odds-Package in User-Panel to retrieve odds.
435955,2023-08-19T14:00:00Z,FINISHED,2,REGULAR_SEASON,,2023-09-19T20:20:30Z,"[{'id': 11317, 'name': 'Darren Bond', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,63,Fulham FC,Fulham,FUL,https://crests.football-data.org/63.svg,402,Brentford FC,Brentford,BRE,https://crests.football-data.org/402.png,AWAY_TEAM,REGULAR,0,3,0,1,Activate Odds-Package in User-Panel to retrieve odds.
435959,2023-08-18T18:45:00Z,FINISHED,2,REGULAR_SEASON,,2023-09-19T20:20:30Z,"[{'id': 11309, 'name': 'Peter Bankes', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,351,Nottingham Forest FC,Nottingham,NOT,https://crests.football-data.org/351.png,356,Sheffield United FC,Sheffield Utd,SHE,https://crests.football-data.org/356.svg,HOME_TEAM,REGULAR,2,1,1,0,Activate Odds-Package in User-Panel to retrieve odds.
435960,2023-08-19T16:30:00Z,FINISHED,2,REGULAR_SEASON,,2023-09-19T20:20:30Z,"[{'id': 11605, 'name': 'Michael Oliver', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,73,Tottenham Hotspur FC,Tottenham,TOT,https://crests.football-data.org/73.png,66,Manchester United FC,Man United,MUN,https://crests.football-data.org/66.png,HOME_TEAM,REGULAR,2,0,0,0,Activate Odds-Package in User-Panel to retrieve odds.
435958,2023-08-19T19:00:00Z,FINISHED,2,REGULAR_SEASON,,2024-06-01T10:21:10Z,"[{'id': 11446, 'name': 'Robert Jones', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,67,Newcastle United FC,Newcastle,NEW,https://crests.football-data.org/67.png,HOME_TEAM,REGULAR,1,0,1,0,Activate Odds-Package in User-Panel to retrieve odds.
435967,2023-08-27T13:00:00Z,FINISHED,3,REGULAR_SEASON,,2023-09-19T20:20:31Z,"[{'id': 11405, 'name': 'Michael Salisbury', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,328,Burnley FC,Burnley,BUR,https://crests.football-data.org/328.png,58,Aston Villa FC,Aston Villa,AVL,https://crests.football-data.org/58.png,AWAY_TEAM,REGULAR,1,3,0,2,Activate Odds-Package in User-Panel to retrieve odds.
435968,2023-08-25T19:00:00Z,FINISHED,3,REGULAR_SEASON,,2024-06-01T10:21:10Z,"[{'id': 11446, 'name': 'Robert Jones', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,61,Chelsea FC,Chelsea,CHE,https://crests.football-data.org/61.png,389,Luton Town FC,Luton Town,LUT,https://crests.football-data.org/389.png,HOME_TEAM,REGULAR,3,0,1,0,Activate Odds-Package in User-Panel to retrieve odds.
435963,2023-08-26T11:30:00Z,FINISHED,3,REGULAR_SEASON,,2023-09-19T20:20:30Z,"[{'id': 11396, 'name': 'Tim Robinson', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,1044,AFC Bournemouth,Bournemouth,BOU,https://crests.football-data.org/1044.png,73,Tottenham Hotspur FC,Tottenham,TOT,https://crests.football-data.org/73.png,AWAY_TEAM,REGULAR,0,2,0,1,Activate Odds-Package in User-Panel to retrieve odds.
435969,2023-08-26T14:00:00Z,FINISHED,3,REGULAR_SEASON,,2024-06-01T10:21:10Z,"[{'id': 11585, 'name': 'Craig Pawson', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,62,Everton FC,Everton,EVE,https://crests.football-data.org/62.png,76,Wolverhampton Wanderers FC,Wolverhampton,WOL,https://crests.football-data.org/76.svg,AWAY_TEAM,REGULAR,0,1,0,0,Activate Odds-Package in User-Panel to retrieve odds.
435970,2023-08-26T14:00:00Z,FINISHED,3,REGULAR_SEASON,,2023-09-19T20:20:31Z,"[{'id': 11494, 'name': 'Stuart Attwell', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,66,Manchester United FC,Man United,MUN,https://crests.football-data.org/66.png,351,Nottingham Forest FC,Nottingham,NOT,https://crests.football-data.org/351.png,HOME_TEAM,REGULAR,3,2,1,2,Activate Odds-Package in User-Panel to retrieve odds.
435964,2023-08-26T14:00:00Z,FINISHED,3,REGULAR_SEASON,,2023-09-19T20:20:30Z,"[{'id': 11520, 'name': 'Paul Tierney', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,57,Arsenal FC,Arsenal,ARS,https://crests.football-data.org/57.png,63,Fulham FC,Fulham,FUL,https://crests.football-data.org/63.svg,DRAW,REGULAR,2,2,0,1,Activate Odds-Package in User-Panel to retrieve odds.
435965,2023-08-26T14:00:00Z,FINISHED,3,REGULAR_SEASON,,2023-09-19T20:20:30Z,"[{'id': 11309, 'name': 'Peter Bankes', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,402,Brentford FC,Brentford,BRE,https://crests.football-data.org/402.png,354,Crystal Palace FC,Crystal Palace,CRY,https://crests.football-data.org/354.png,DRAW,REGULAR,1,1,1,0,Activate Odds-Package in User-Panel to retrieve odds.
435966,2023-08-26T16:30:00Z,FINISHED,3,REGULAR_SEASON,,2023-09-19T20:20:31Z,"[{'id': 11580, 'name': 'Anthony Taylor', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,397,Brighton & Hove Albion FC,Brighton Hove,BHA,https://crests.football-data.org/397.svg,563,West Ham United FC,West Ham,WHU,https://crests.football-data.org/563.png,AWAY_TEAM,REGULAR,1,3,0,1,Activate Odds-Package in User-Panel to retrieve odds.
435972,2023-08-27T13:00:00Z,FINISHED,3,REGULAR_SEASON,,2024-06-01T10:21:10Z,"[{'id': 23568, 'name': 'Jarred Gillett', 'type': 'REFEREE', 'nationality': 'Australia'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,356,Sheffield United FC,Sheffield Utd,SHE,https://crests.football-data.org/356.svg,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,AWAY_TEAM,REGULAR,1,2,0,0,Activate Odds-Package in User-Panel to retrieve odds.
435971,2023-08-27T15:30:00Z,FINISHED,3,REGULAR_SEASON,,2024-06-01T10:21:10Z,"[{'id': 11327, 'name': 'John Brooks', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,67,Newcastle United FC,Newcastle,NEW,https://crests.football-data.org/67.png,64,Liverpool FC,Liverpool,LIV,https://crests.football-data.org/64.png,AWAY_TEAM,REGULAR,1,2,1,0,Activate Odds-Package in User-Panel to retrieve odds.
435982,2023-09-02T11:30:00Z,FINISHED,4,REGULAR_SEASON,,2023-09-19T20:20:31Z,"[{'id': 11423, 'name': 'Andy Madley', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,356,Sheffield United FC,Sheffield Utd,SHE,https://crests.football-data.org/356.svg,62,Everton FC,Everton,EVE,https://crests.football-data.org/62.png,DRAW,REGULAR,2,2,2,1,Activate Odds-Package in User-Panel to retrieve odds.
435980,2023-09-01T19:00:00Z,FINISHED,4,REGULAR_SEASON,,2023-09-19T20:20:31Z,"[{'id': 11520, 'name': 'Paul Tierney', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,389,Luton Town FC,Luton Town,LUT,https://crests.football-data.org/389.png,563,West Ham United FC,West Ham,WHU,https://crests.football-data.org/563.png,AWAY_TEAM,REGULAR,1,2,0,1,Activate Odds-Package in User-Panel to retrieve odds.
435973,2023-09-03T15:30:00Z,FINISHED,4,REGULAR_SEASON,,2023-09-19T20:20:31Z,"[{'id': 11580, 'name': 'Anthony Taylor', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,57,Arsenal FC,Arsenal,ARS,https://crests.football-data.org/57.png,66,Manchester United FC,Man United,MUN,https://crests.football-data.org/66.png,HOME_TEAM,REGULAR,3,1,1,1,Activate Odds-Package in User-Panel to retrieve odds.
435979,2023-09-03T13:00:00Z,FINISHED,4,REGULAR_SEASON,,2024-06-01T10:21:10Z,"[{'id': 11430, 'name': 'Simon Hooper', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,64,Liverpool FC,Liverpool,LIV,https://crests.football-data.org/64.png,58,Aston Villa FC,Aston Villa,AVL,https://crests.football-data.org/58.png,HOME_TEAM,REGULAR,3,0,2,0,Activate Odds-Package in User-Panel to retrieve odds.
435978,2023-09-03T13:00:00Z,FINISHED,4,REGULAR_SEASON,,2024-06-01T10:21:10Z,"[{'id': 11446, 'name': 'Robert Jones', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,354,Crystal Palace FC,Crystal Palace,CRY,https://crests.football-data.org/354.png,76,Wolverhampton Wanderers FC,Wolverhampton,WOL,https://crests.football-data.org/76.svg,HOME_TEAM,REGULAR,3,2,0,0,Activate Odds-Package in User-Panel to retrieve odds.
435977,2023-09-02T14:00:00Z,FINISHED,4,REGULAR_SEASON,,2024-06-01T10:21:10Z,"[{'id': 11396, 'name': 'Tim Robinson', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,61,Chelsea FC,Chelsea,CHE,https://crests.football-data.org/61.png,351,Nottingham Forest FC,Nottingham,NOT,https://crests.football-data.org/351.png,AWAY_TEAM,REGULAR,0,1,0,0,Activate Odds-Package in User-Panel to retrieve odds.
435981,2023-09-02T14:00:00Z,FINISHED,4,REGULAR_SEASON,,2024-06-01T10:21:10Z,"[{'id': 11605, 'name': 'Michael Oliver', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,63,Fulham FC,Fulham,FUL,https://crests.football-data.org/63.svg,HOME_TEAM,REGULAR,5,1,2,1,Activate Odds-Package in User-Panel to retrieve odds.
435976,2023-09-02T14:00:00Z,FINISHED,4,REGULAR_SEASON,,2023-09-19T20:20:31Z,"[{'id': 11469, 'name': 'Darren England', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,328,Burnley FC,Burnley,BUR,https://crests.football-data.org/328.png,73,Tottenham Hotspur FC,Tottenham,TOT,https://crests.football-data.org/73.png,AWAY_TEAM,REGULAR,2,5,1,2,Activate Odds-Package in User-Panel to retrieve odds.
435975,2023-09-02T16:30:00Z,FINISHED,4,REGULAR_SEASON,,2023-09-19T20:20:31Z,"[{'id': 11494, 'name': 'Stuart Attwell', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,397,Brighton & Hove Albion FC,Brighton Hove,BHA,https://crests.football-data.org/397.svg,67,Newcastle United FC,Newcastle,NEW,https://crests.football-data.org/67.png,HOME_TEAM,REGULAR,3,1,1,0,Activate Odds-Package in User-Panel to retrieve odds.
435974,2023-09-02T14:00:00Z,FINISHED,4,REGULAR_SEASON,,2023-09-19T20:20:31Z,"[{'id': 193220, 'name': 'Bobby Madley', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,402,Brentford FC,Brentford,BRE,https://crests.football-data.org/402.png,1044,AFC Bournemouth,Bournemouth,BOU,https://crests.football-data.org/1044.png,DRAW,REGULAR,2,2,1,1,Activate Odds-Package in User-Panel to retrieve odds.
435989,2023-09-18T18:45:00Z,FINISHED,5,REGULAR_SEASON,,2023-09-19T20:20:32Z,"[{'id': 11446, 'name': 'Robert Jones', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,351,Nottingham Forest FC,Nottingham,NOT,https://crests.football-data.org/351.png,328,Burnley FC,Burnley,BUR,https://crests.football-data.org/328.png,DRAW,REGULAR,1,1,0,1,Activate Odds-Package in User-Panel to retrieve odds.
435983,2023-09-17T13:00:00Z,FINISHED,5,REGULAR_SEASON,,2024-06-01T10:21:10Z,"[{'id': 11556, 'name': 'David Coote', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,1044,AFC Bournemouth,Bournemouth,BOU,https://crests.football-data.org/1044.png,61,Chelsea FC,Chelsea,CHE,https://crests.football-data.org/61.png,DRAW,REGULAR,0,0,0,0,Activate Odds-Package in User-Panel to retrieve odds.
435988,2023-09-16T16:30:00Z,FINISHED,5,REGULAR_SEASON,,2023-09-19T20:20:32Z,"[{'id': 11585, 'name': 'Craig Pawson', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,67,Newcastle United FC,Newcastle,NEW,https://crests.football-data.org/67.png,402,Brentford FC,Brentford,BRE,https://crests.football-data.org/402.png,HOME_TEAM,REGULAR,1,0,0,0,Activate Odds-Package in User-Panel to retrieve odds.
435985,2023-09-17T15:30:00Z,FINISHED,5,REGULAR_SEASON,,2023-09-19T20:20:32Z,"[{'id': 11430, 'name': 'Simon Hooper', 'type': 'REFEREE', 'nationality': 'England'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,62,Everton FC,Everton,EVE,https://crests.football-data.org/62.png,57,Arsenal FC,Arsenal,ARS,https://crests.football-data.org/57.png,AWAY_TEAM,REGULAR,0,1,0,0,Activate Odds-Package in User-Panel to retrieve odds.
435987,2023-09-16T14:00:00Z,FINISHED,5,REGULAR_SEASON,,2023-09-19T20:20:32Z,"[{'id': 23568, 'name': 'Jarred Gillett', 'type': 'REFEREE', 'nationality': 'Australia'}]",2072,England,ENG,https://crests.football-data.org/770.svg,2021,Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,1564,2023-08-11,2024-05-19,38,,66,Manchester United FC,Man United,MUN,https://crests.football-data.org/66.png,397,Brighton & Hove Albion FC,Brighton Hove,BHA,https://crests.football-data.org/397.svg,AWAY_TEAM,REGULAR,1,3,0,1,Activate Odds-Package in User-Panel to retrieve odds.
